iter	Passed	Remaining
836	5594	1089
837	5601	1082
838	5607	1076
839	5614	1069
840	5620	1062
841	5627	1055
842	5634	1049
843	5640	1042
844	5647	1035
845	5654	1029
846	5660	1022
847	5667	1015
848	5673	1009
849	5680	1002
850	5686	995
851	5692	988
852	5699	982
853	5705	975
854	5712	968
855	5718	961
856	5724	955
857	5731	948
858	5737	941
859	5745	935
860	5752	928
861	5760	922
862	5767	915
863	5774	908
864	5780	902
865	5786	895
866	5793	888
867	5799	882
868	5806	875
869	5812	868
870	5818	861
871	5825	855
872	5831	848
873	5838	841
874	5844	834
875	5851	828
876	5857	821
877	5863	814
878	5870	808
879	5876	801
880	5883	794
881	5889	787
882	5896	781
883	5902	774
884	5908	767
885	5915	761
886	5921	754
887	5928	747
888	5934	741
889	5942	734
890	5950	727
891	5957	721
892	5964	714
893	5971	708
894	5978	701
895	5985	694
896	5991	688
897	5998	681
898	6004	674
899	6011	667
900	6017	661
901	6024	654
902	6030	647
903	6036	641
904	6043	634
905	6049	627
906	6056	620
907	6062	614
908	6069	607
909	6075	600
910	6082	594
911	6088	587
912	6095	580
913	6101	574
914	6108	567
915	6114	560
916	6120	554
917	6127	547
918	6133	540
919	6142	534
920	6148	527
921	6155	520
922	6163	514
923	6169	507
924	6176	500
925	6184	494
926	6191	487
927	6197	480
928	6203	474
929	6210	467
930	6216	460
931	6223	454
932	6229	447
933	6235	440
934	6242	433
935	6249	427
936	6255	420
937	6261	413
938	6268	407
939	6274	400
940	6281	393
941	6287	387
942	6293	380
943	6300	373
944	6306	367
945	6313	360
946	6319	353
947	6325	346
948	6332	340
949	6339	333
950	6346	327
951	6355	320
952	6361	313
953	6367	307
954	6375	300
955	6382	293
956	6388	287
957	6394	280
958	6401	273
959	6407	266
960	6414	260
961	6420	253
962	6426	246
963	6433	240
964	6439	233
965	6446	226
966	6452	220
967	6459	213
968	6465	206
969	6472	200
970	6478	193
971	6485	186
972	6491	180
973	6497	173
974	6504	166
975	6510	160
976	6516	153
977	6523	146
978	6529	140
979	6537	133
980	6544	126
981	6552	120
982	6559	113
983	6566	106
984	6573	100
985	6580	93
986	6586	86
987	6593	80
988	6599	73
989	6605	66
990	6612	60
991	6618	53
992	6625	46
993	6631	40
994	6637	33
995	6644	26
996	6650	20
997	6657	13
998	6663	6
999	6669	0
